ID,Label,Modularity
0,ansarakhilafa,4
1,grezz10,4
2,murasil1,4
3,mobi_ayubi,4
4,Nidalgazaui,0
5,FidaeeFulaani,2
6,06230550_IS,4
7,maisaraghereeb,4
8,ManKhalfahum,4
9,WarReporter1,0
10,kIakishini5,1
11,_IshfaqAhmad,4
12,Abu_Azzzam25,4
13,MilkSheikh2,2
14,AsimAbuMerjem,0
15,war_analysis,4
16,sonofshishan,4
17,MaghrabiArabi,0
18,abuayisha108,4
19,baaqiya_01,4
20,ismailmahsud,0
21,warrnews,0
22,IbnKashmir_,4
23,mustaklash,3
24,darulhijrateyni,4
25,st3erer,4
26,1515Ummah,0
27,__alfresco__,4
28,Uncle_SamCoco,0
29,mustafaklash56,2
30,Jazrawi_Saraqib,2
31,wayf44rerr,0
32,melvynlion,4
33,432Mryam,4
34,safiyaimback,2
35,NaseemAhmed50,4
36,abuhumayra4,4
37,Mountainjjoool,1
38,fahadslay614,2
