ID,Label,cluster
43,04_8_1437,1
54,06230550_IS,4
69,1515Ummah,0
62,1Dawlah_III,3
47,432Mryam,4
80,ALK___226,1
34,AbdusMujahid149,0
91,AbuLaythAlHindi,1
104,AbuMusab_110,4
69,AbuNaseeha_03,4
59,Abu_Azzzam25,4
50,Abu_Ibn_Taha,4
60,Afriqqiya_252,4
89,Al_Battar_Engl,3
75,Alwala_bara,4
85,AsimAbuMerjem,0
105,Bajwa47online,1
40,BaqiyaIs,2
50,Baqiyah_Khilafa,4
83,Battar_English,3
68,BilalIbnRabah1,1
51,CXaafada2,2
61,DabiqsweetsMan,4
106,DawlaWitness11,2
3,Dieinurage308,4
29,EPlC24,4
88,FidaeeFulaani,2
51,Fidaee_Fulaani,4
95,Freedom_speech2,0
16,GunsandCoffee70,2
6,IbnKashmir_,4
100,Jazrawi_Joulan,2
106,Jazrawi_Saraqib,2
97,JohnsonsBot,0
49,JoinISNation102,0
86,MaghrabiArabi,0
100,MaghrebiHD,2
36,MaghrebiQ,4
95,MaghrebiQM,0
96,MaghrebiWM,2
78,ManKhalfahum,4
15,MhzBnt,4
86,MilkSheikh2,2
106,Mosul_05,2
37,Mountainjjoool,1
105,NaseemAhmed50,4
104,Nidalgazaui,0
87,QassamiMarwan,0
105,RamiAlLolah,0
60,Suspend_Me_fags,4
104,Uncle_SamCoco,0
106,WarReporter1,0
74,WhiteCat_7,4
88,Witness_alHaqq,4
10,YazeedDhardaa25,4
87,_IshfaqAhmad,4
41,___KU217_y,1
104,__alfresco__,4
82,abdlrhmn15,4
47,abuayisha102,4
52,abuayisha108,4
9,abubakerdimshqi,4
19,abuhanzalah10,4
85,abuhumayra4,4
106,abutariq040,4
99,abutariq041,4
21,al_nusra,2
22,al_zaishan10,2
44,alamreeki4,4
58,almuhajirun9,2
33,ansarakhilafa,4
101,baaqiya_01,4
102,bintraveller,4
13,btt_ar,3
84,c0n0fj1had4_,4
87,darulhijrateyni,4
12,dieinurage29__7,4
99,emran_getu,2
98,fahadslay614,2
94,freelance_112,2
32,grezz10,4
95,ismailmahsud,0
57,kIakishini5,1
71,k_kid04,1
72,klakishinki,2
70,ks48a174031,0
95,lNSlDEWAR,0
103,maisaraghereeb,4
65,melvynlion,4
95,mobi_ayubi,4
86,moustiklash,2
23,murasil1,4
101,mustafaklash56,2
86,mustaklash,3
67,newerajihadi61,2
93,nvor85j,1
54,pleaoftheummah,2
39,ro34th,1
48,safiyaimback,2
99,saifulakhir,2
65,sonofshishan,4
52,squadsquaaaaad,2
104,st3erer,4
72,thefIamesofhaqq,4
99,war_analysis,4
38,warreporter2,4
95,warrnews,0
104,wayf44rerr,0
37,wayff44rer,0
95,wayyf44rer,0
